customer_id,first_name,last_name,age,gender,postal_code,email,phone_number,membership_status,join_date,last_purchase_date,total_spending,average_order_value,frequency,preferred_category,churned
101,Léa,King,60.0,M,69003,Lking@orange.fr,33765451688,Basic,2024-01-01 16:26:31,2024-01-01 11:21:38,205.92,1124.64,26,Macaron,False
102,Chloé,Smith,31.0,F,69006,CSMITH@HOTMAIL.COM,0,Gold,2024-01-01 14:35:22,2024-01-01 12:05:02,744.21,4403.42,24,Bread,False
103,Harper,Robinson,38.0,M,69006,harperr@yahoo.com,33148254771,Basic,2022-01-25 12:16:58,2024-01-01 10:45:22,929.52,42.25,22,Pastries,False
104,Ethan,Rodriguez,54.0,F,69001,ETHAN_RODRIGUEZ@YANDEX.COM,33118046627,Basic,2024-01-01 10:17:05,2023-07-17 16:28:43,731.21,33.24,22,Unknown,False
105,Ava,Allen,50.0,F,69006,Ava.allen@hotmail.com,33267246001,Silver,2000-03-16 15:12:58,2023-05-18 16:11:15,629.48,16.57,38,Bread,True
106,Amélie,Schmidt,45.0,F,69003,Amélie.schmidt@protonmail.com,33410798418,Gold,2023-11-18 14:05:46,2024-01-01 12:31:33,776.1,38.8,20,Bread,False
107,Mia,Leroy,67.0,F,69003,Mia.leroy@yahoo.com,33440143651,Gold,2024-01-01 12:32:35,2023-03-09 16:19:46,840.89,5191.52,23,Pastries,True
108,Finn,Weber,34.0,F,69003,finnw@laposte.net,33249004719,Silver,2016-11-10 13:21:17,2023-12-13 15:39:27,455.76,455.76,1,Pastries,False
109,Chloe,Dubois,21.0,F,69007,Chloed@yahoo.com,33124046901,Basic,2023-05-15 09:56:14,2023-12-26 15:15:26,579.15,115.83,5,Pastries,True
110,Hannah,Miller,28.0,F,69007,hmiller@web.de,6,Silver,2023-08-06 14:21:24,2024-01-01 12:50:26,704.1,25.15,28,Pastries,False
111,Harry,Hoffmann,48.0,F,69002,harry.hoffmann@laposte.net,33413173236,Silver,2022-11-06 11:02:46,2023-06-09 11:45:18,920.32,61.35,15,Tarte,False
112,Henry,Harris,40.0,F,69007,Henryharris@outlook.com,33482989535,Silver,2024-01-01 16:03:18,2023-03-26 15:09:25,709.73,17.31,41,Pastries,True
113,James,Moreau,67.0,M,69001,james_moreau@outlook.com,33378908896,Gold,2024-01-01 15:56:50,2024-01-01 12:16:38,266.9,7.63,35,Tarte,False
