customer_id,first_name,last_name,age,gender,postal_code,email,phone_number,membership_status,join_date,last_purchase_date,total_spending,average_order_value,frequency,preferred_category,churned
101,Léa,King,60.0,M,69003,Lking@orange.fr,33765451688,Basic,2024-01-01 15:21:20,2024-01-01 12:56:21,205.92,1124.64,26,Macaron,False
102,Chloé,Smith,31.0,F,69006,CSMITH@HOTMAIL.COM,0,Gold,2024-01-01 15:33:08,2024-01-01 16:06:59,744.21,4403.42,24,Bread,False
103,Harper,Robinson,38.0,M,69006,harperr@yahoo.com,33148254771,Basic,2022-01-25 14:34:29,2024-01-01 09:24:33,929.52,42.25,22,Pastries,False
104,Ethan,Rodriguez,54.0,F,69001,ETHAN_RODRIGUEZ@YANDEX.COM,33118046627,Basic,2024-01-01 10:31:08,2023-07-17 10:10:22,731.21,33.24,22,Unknown,False
105,Ava,Allen,50.0,F,69006,Ava.allen@hotmail.com,33267246001,Silver,2000-03-16 16:03:16,2023-05-18 13:24:22,629.48,16.57,38,Bread,True
106,Amélie,Schmidt,45.0,F,69003,Amélie.schmidt@protonmail.com,33410798418,Gold,2023-11-18 11:52:02,2024-01-01 10:05:57,776.1,38.8,20,Bread,False
107,Mia,Leroy,67.0,F,69003,Mia.leroy@yahoo.com,33440143651,Gold,2024-01-01 14:35:28,2023-03-09 12:25:48,840.89,5191.52,23,Pastries,True
108,Finn,Weber,34.0,F,69003,finnw@laposte.net,33249004719,Silver,2016-11-10 15:58:24,2023-12-13 10:31:55,455.76,455.76,1,Pastries,False
109,Chloe,Dubois,21.0,F,69007,Chloed@yahoo.com,33124046901,Basic,2023-05-15 16:40:42,2023-12-26 09:16:37,579.15,115.83,5,Pastries,True
110,Hannah,Miller,28.0,F,69007,hmiller@web.de,6,Silver,2023-08-06 11:23:27,2024-01-01 10:49:45,704.1,25.15,28,Pastries,False
111,Harry,Hoffmann,48.0,F,69002,harry.hoffmann@laposte.net,33413173236,Silver,2022-11-06 10:19:12,2023-06-09 16:53:49,920.32,61.35,15,Tarte,False
112,Henry,Harris,40.0,F,69007,Henryharris@outlook.com,33482989535,Silver,2024-01-01 11:20:40,2023-03-26 16:48:49,709.73,17.31,41,Pastries,True
113,James,Moreau,67.0,M,69001,james_moreau@outlook.com,33378908896,Gold,2024-01-01 11:26:56,2024-01-01 10:26:21,266.9,7.63,35,Tarte,False
114,Charlotte,Adams,38.0,F,69007,charlottea@web.de,33551328360,BASIC,2024-01-01 14:48:48,2023-10-13 10:20:33,468.31,11.42,41,Tarte,False
115,Paul,Richard,25.0,F,69007,Paul.richard@yandex.com,33724009690,Silver,2019-09-28 10:19:08,2010-03-29 16:30:48,566.45,15.31,37,Pastries,False
116,Benjamin,Garcia,59.0,F,69001,Benjamin_garcia@protonmail.com,33844144576,Basic,2025-01-02 15:42:50,2023-09-10 12:07:26,713.8,18.3,39,Bread,Yes
117,Emma,Meyer,18.0,M,69006,Emmam@yahoo.com,33304782347,Gold,2024-01-01 15:12:36,2023-12-20 09:26:55,341.27,17.96,19,Macaron,False
